Season,Month,Month_Number,Week,Month_Week_Label,Month_Week_Sort_Order,Cumulative_Flu_Doses_Distributed,Imputed_Value,Current_Through
2016-2017,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2016-2017,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2016-2017,September,3,1,September wk 1,31,52.7,false,09/24/2021 12:00:00 AM
2016-2017,September,3,2,September wk 2,32,69.7,false,09/24/2021 12:00:00 AM
2016-2017,September,3,3,September wk 3,33,93.2,false,09/24/2021 12:00:00 AM
2016-2017,September,3,4,September wk 4,34,108.8,false,09/24/2021 12:00:00 AM
2016-2017,October,4,1,October wk 1,41,105.7,false,09/24/2021 12:00:00 AM
2016-2017,October,4,2,October wk 2,42,116.3,false,09/24/2021 12:00:00 AM
2016-2017,October,4,3,October wk 3,43,124.5,false,09/24/2021 12:00:00 AM
2016-2017,October,4,4,October wk 4,44,130.3,false,09/24/2021 12:00:00 AM
2016-2017,November,5,1,November wk 1,51,134,false,09/24/2021 12:00:00 AM
2016-2017,November,5,2,November wk 2,52,136.1,false,09/24/2021 12:00:00 AM
2016-2017,November,5,3,November wk 3,53,139,false,09/24/2021 12:00:00 AM
2016-2017,November,5,4,November wk 4,54,139.6,false,09/24/2021 12:00:00 AM
2016-2017,December,6,1,December wk 1,61,142,false,09/24/2021 12:00:00 AM
2016-2017,December,6,2,December wk 2,62,143.2,false,09/24/2021 12:00:00 AM
2016-2017,December,6,3,December wk 3,63,143.5,true,09/24/2021 12:00:00 AM
2016-2017,December,6,4,December wk 4,64,143.7,false,09/24/2021 12:00:00 AM
2016-2017,January,7,1,January wk 1,71,144.1,false,09/24/2021 12:00:00 AM
2016-2017,January,7,2,January wk 2,72,144.6,false,09/24/2021 12:00:00 AM
2016-2017,January,7,3,January wk 3,73,144.9,false,09/24/2021 12:00:00 AM
2016-2017,January,7,4,January wk 4,74,145,false,09/24/2021 12:00:00 AM
2016-2017,February,8,1,February wk 1,81,145.2,false,09/24/2021 12:00:00 AM
2016-2017,February,8,2,February wk 2,82,145.6,false,09/24/2021 12:00:00 AM
2016-2017,February,8,3,February wk 3,83,145.7,false,09/24/2021 12:00:00 AM
2016-2017,February,8,4,February wk 4,84,145.8,false,09/24/2021 12:00:00 AM
2016-2017,March,9,1,March wk 1,91,145.9,false,09/24/2021 12:00:00 AM
2016-2017,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2017-2018,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,1,September wk 1,31,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,2,September wk 2,32,,false,09/24/2021 12:00:00 AM
2017-2018,September,3,3,September wk 3,33,73.7,false,09/24/2021 12:00:00 AM
2017-2018,September,3,4,September wk 4,34,89.2,true,09/24/2021 12:00:00 AM
2017-2018,October,4,1,October wk 1,41,104.7,false,09/24/2021 12:00:00 AM
2017-2018,October,4,2,October wk 2,42,117.2,false,09/24/2021 12:00:00 AM
2017-2018,October,4,3,October wk 3,43,123.3,false,09/24/2021 12:00:00 AM
2017-2018,October,4,4,October wk 4,44,130.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,1,November wk 1,51,148.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,2,November wk 2,52,148.2,false,09/24/2021 12:00:00 AM
2017-2018,November,5,3,November wk 3,53,148.4,true,09/24/2021 12:00:00 AM
2017-2018,November,5,4,November wk 4,54,148.5,false,09/24/2021 12:00:00 AM
2017-2018,December,6,1,December wk 1,61,149.6,false,09/24/2021 12:00:00 AM
2017-2018,December,6,2,December wk 2,62,150.3,false,09/24/2021 12:00:00 AM
2017-2018,December,6,3,December wk 3,63,150.6,true,09/24/2021 12:00:00 AM
2017-2018,December,6,4,December wk 4,64,150.8,false,09/24/2021 12:00:00 AM
2017-2018,January,7,1,January wk 1,71,151.5,false,09/24/2021 12:00:00 AM
2017-2018,January,7,2,January wk 2,72,152.1,false,09/24/2021 12:00:00 AM
2017-2018,January,7,3,January wk 3,73,152.6,false,09/24/2021 12:00:00 AM
2017-2018,January,7,4,January wk 4,74,154.2,false,09/24/2021 12:00:00 AM
2017-2018,February,8,1,February wk 1,81,154.3,false,09/24/2021 12:00:00 AM
2017-2018,February,8,2,February wk 2,82,154.7,false,09/24/2021 12:00:00 AM
2017-2018,February,8,3,February wk 3,83,155.1,false,09/24/2021 12:00:00 AM
2017-2018,February,8,4,February wk 4,84,155.3,false,09/24/2021 12:00:00 AM
2017-2018,March,9,1,March wk 1,91,155.3,false,09/24/2021 12:00:00 AM
2017-2018,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2018-2019,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2018-2019,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2018-2019,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2018-2019,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2018-2019,September,3,1,September wk 1,31,,false,09/24/2021 12:00:00 AM
2018-2019,September,3,2,September wk 2,32,,false,09/24/2021 12:00:00 AM
2018-2019,September,3,3,September wk 3,33,90.5,false,09/24/2021 12:00:00 AM
2018-2019,September,3,4,September wk 4,34,105,true,09/24/2021 12:00:00 AM
2018-2019,October,4,1,October wk 1,41,119.4,false,09/24/2021 12:00:00 AM
2018-2019,October,4,2,October wk 2,42,132.5,false,09/24/2021 12:00:00 AM
2018-2019,October,4,3,October wk 3,43,140.7,false,09/24/2021 12:00:00 AM
2018-2019,October,4,4,October wk 4,44,151.2,false,09/24/2021 12:00:00 AM
2018-2019,November,5,1,November wk 1,51,156.5,false,09/24/2021 12:00:00 AM
2018-2019,November,5,2,November wk 2,52,159.1,false,09/24/2021 12:00:00 AM
2018-2019,November,5,3,November wk 3,53,160.6,true,09/24/2021 12:00:00 AM
2018-2019,November,5,4,November wk 4,54,162.1,false,09/24/2021 12:00:00 AM
2018-2019,December,6,1,December wk 1,61,163.8,false,09/24/2021 12:00:00 AM
2018-2019,December,6,2,December wk 2,62,165.5,false,09/24/2021 12:00:00 AM
2018-2019,December,6,3,December wk 3,63,166,true,09/24/2021 12:00:00 AM
2018-2019,December,6,4,December wk 4,64,166.5,true,09/24/2021 12:00:00 AM
2018-2019,January,7,1,January wk 1,71,167,false,09/24/2021 12:00:00 AM
2018-2019,January,7,2,January wk 2,72,168,false,09/24/2021 12:00:00 AM
2018-2019,January,7,3,January wk 3,73,168.4,false,09/24/2021 12:00:00 AM
2018-2019,January,7,4,January wk 4,74,168.6,false,09/24/2021 12:00:00 AM
2018-2019,February,8,1,February wk 1,81,168.9,false,09/24/2021 12:00:00 AM
2018-2019,February,8,2,February wk 2,82,169.1,false,09/24/2021 12:00:00 AM
2018-2019,February,8,3,February wk 3,83,169.1,false,09/24/2021 12:00:00 AM
2018-2019,February,8,4,February wk 4,84,169.1,false,09/24/2021 12:00:00 AM
2018-2019,March,9,1,March wk 1,91,169.1,false,09/24/2021 12:00:00 AM
2018-2019,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2019-2020,August,2,1,August wk 1,21,,false,09/24/2021 12:00:00 AM
2019-2020,August,2,2,August wk 2,22,,false,09/24/2021 12:00:00 AM
2019-2020,August,2,3,August wk 3,23,,false,09/24/2021 12:00:00 AM
2019-2020,August,2,4,August wk 4,24,,false,09/24/2021 12:00:00 AM
2019-2020,September,3,1,September wk 1,31,,false,09/24/2021 12:00:00 AM
2019-2020,September,3,2,September wk 2,32,76.9,false,09/24/2021 12:00:00 AM
2019-2020,September,3,3,September wk 3,33,110.2,false,09/24/2021 12:00:00 AM
2019-2020,September,3,4,September wk 4,34,113.1,true,09/24/2021 12:00:00 AM
2019-2020,October,4,1,October wk 1,41,116,false,09/24/2021 12:00:00 AM
2019-2020,October,4,2,October wk 2,42,127.6,false,09/24/2021 12:00:00 AM
2019-2020,October,4,3,October wk 3,43,140.2,false,09/24/2021 12:00:00 AM
2019-2020,October,4,4,October wk 4,44,148.6,false,09/24/2021 12:00:00 AM
2019-2020,November,5,1,November wk 1,51,155.1,false,09/24/2021 12:00:00 AM
2019-2020,November,5,2,November wk 2,52,162.1,false,09/24/2021 12:00:00 AM
2019-2020,November,5,3,November wk 3,53,166.4,false,09/24/2021 12:00:00 AM
2019-2020,November,5,4,November wk 4,54,167.8,true,09/24/2021 12:00:00 AM
2019-2020,December,6,1,December wk 1,61,169.1,false,09/24/2021 12:00:00 AM
2019-2020,December,6,2,December wk 2,62,170.3,false,09/24/2021 12:00:00 AM
2019-2020,December,6,3,December wk 3,63,170.7,false,09/24/2021 12:00:00 AM
2019-2020,December,6,4,December wk 4,64,171.2,true,09/24/2021 12:00:00 AM
2019-2020,January,7,1,January wk 1,71,171.7,false,09/24/2021 12:00:00 AM
2019-2020,January,7,2,January wk 2,72,172.2,false,09/24/2021 12:00:00 AM
2019-2020,January,7,3,January wk 3,73,173,false,09/24/2021 12:00:00 AM
2019-2020,January,7,4,January wk 4,74,173.3,false,09/24/2021 12:00:00 AM
2019-2020,February,8,1,February wk 1,81,173.6,false,09/24/2021 12:00:00 AM
2019-2020,February,8,2,February wk 2,82,173.9,false,09/24/2021 12:00:00 AM
2019-2020,February,8,3,February wk 3,83,174.1,false,09/24/2021 12:00:00 AM
2019-2020,February,8,4,February wk 4,84,174.3,false,09/24/2021 12:00:00 AM
2019-2020,March,9,1,March wk 1,91,174.5,false,09/24/2021 12:00:00 AM
2019-2020,March,9,2,March wk 2,92,,false,09/24/2021 12:00:00 AM
2020-2021,August,2,1,August wk 1,21,5.7,false,09/24/2021 12:00:00 AM
2020-2021,August,2,2,August wk 2,22,13.2,false,09/24/2021 12:00:00 AM
2020-2021,August,2,3,August wk 3,23,25.2,false,09/24/2021 12:00:00 AM
2020-2021,August,2,4,August wk 4,24,45.2,false,09/24/2021 12:00:00 AM
2020-2021,September,3,1,September wk 1,31,59,false,09/24/2021 12:00:00 AM
2020-2021,September,3,2,September wk 2,32,77,false,09/24/2021 12:00:00 AM
2020-2021,September,3,3,September wk 3,33,93.4,false,09/24/2021 12:00:00 AM
2020-2021,September,3,4,September wk 4,34,121.2,false,09/24/2021 12:00:00 AM
2020-2021,October,4,1,October wk 1,41,138.2,false,09/24/2021 12:00:00 AM
2020-2021,October,4,2,October wk 2,42,152.3,false,09/24/2021 12:00:00 AM
2020-2021,October,4,3,October wk 3,43,164.1,false,09/24/2021 12:00:00 AM
2020-2021,October,4,4,October wk 4,44,174.3,false,09/24/2021 12:00:00 AM
2020-2021,November,5,1,November wk 1,51,181.7,false,09/24/2021 12:00:00 AM
2020-2021,November,5,2,November wk 2,52,184.7,false,09/24/2021 12:00:00 AM
2020-2021,November,5,3,November wk 3,53,188.4,false,09/24/2021 12:00:00 AM
2020-2021,November,5,4,November wk 4,54,190.2,false,09/24/2021 12:00:00 AM
2020-2021,December,6,1,December wk 1,61,191.4,false,09/24/2021 12:00:00 AM
2020-2021,December,6,2,December wk 2,62,192.6,false,09/24/2021 12:00:00 AM
2020-2021,December,6,3,December wk 3,63,193.8,false,09/24/2021 12:00:00 AM
2020-2021,December,6,4,December wk 4,64,194,false,09/24/2021 12:00:00 AM
2020-2021,January,7,1,January wk 1,71,194.5,false,09/24/2021 12:00:00 AM
2020-2021,January,7,2,January wk 2,72,194.7,false,09/24/2021 12:00:00 AM
2020-2021,January,7,3,January wk 3,73,194.8,false,09/24/2021 12:00:00 AM
2020-2021,January,7,4,January wk 4,74,195,false,09/24/2021 12:00:00 AM
2020-2021,February,8,1,February wk 1,81,195.1,false,09/24/2021 12:00:00 AM
2020-2021,February,8,2,February wk 2,82,195.2,false,09/24/2021 12:00:00 AM
2020-2021,February,8,3,February wk 3,83,195.2,false,09/24/2021 12:00:00 AM
2020-2021,February,8,4,February wk 4,84,195.3,false,09/24/2021 12:00:00 AM
2021-2022,August,2,1,August wk 1,21,5.4,false,02/25/2022 12:00:00 AM
2021-2022,August,2,2,August wk 2,22,11.5,false,02/25/2022 12:00:00 AM
2021-2022,August,2,3,August wk 3,23,24,false,02/25/2022 12:00:00 AM
2021-2022,August,2,4,August wk 4,24,39.9,false,02/25/2022 12:00:00 AM
2021-2022,September,3,1,September wk 1,31,53.2,false,02/25/2022 12:00:00 AM
2021-2022,September,3,2,September wk 2,32,66.8,false,02/25/2022 12:00:00 AM
2021-2022,September,3,3,September wk 3,33,84.8,false,02/25/2022 12:00:00 AM
2021-2022,September,3,4,September wk 4,34,101.1,false,02/25/2022 12:00:00 AM
2021-2022,October,4,1,October wk 1,41,114.6,false,02/25/2022 12:00:00 AM
2021-2022,October,4,2,October wk 2,42,128.6,false,02/25/2022 12:00:00 AM
2021-2022,October,4,3,October wk 3,43,139.7,false,02/25/2022 12:00:00 AM
2021-2022,October,4,4,October wk 4,44,150,false,02/25/2022 12:00:00 AM
2021-2022,November,5,1,November wk 1,51,158.7,false,02/25/2022 12:00:00 AM
2021-2022,November,5,2,November wk 2,52,162.5,false,02/25/2022 12:00:00 AM
2021-2022,November,5,3,November wk 3,53,165.2,false,02/25/2022 12:00:00 AM
2021-2022,November,5,4,November wk 4,54,167.2,false,02/25/2022 12:00:00 AM
2021-2022,December,6,1,December wk 1,61,167.8,false,02/25/2022 12:00:00 AM
2021-2022,December,6,2,December wk 2,62,169.1,false,02/25/2022 12:00:00 AM
2021-2022,December,6,3,December wk 3,63,170.2,false,02/25/2022 12:00:00 AM
2021-2022,December,6,4,December wk 4,64,172,false,02/25/2022 12:00:00 AM
2021-2022,January,7,1,January wk 1,71,172.6,false,02/25/2022 12:00:00 AM
2021-2022,January,7,2,January wk 2,72,172.8,false,02/25/2022 12:00:00 AM
2021-2022,January,7,3,January wk 3,73,173.3,false,02/25/2022 12:00:00 AM
2021-2022,January,7,4,January wk 4,74,173.8,false,02/25/2022 12:00:00 AM
2021-2022,February,8,1,February wk 1,81,174.1,false,02/25/2022 12:00:00 AM
2021-2022,February,8,2,February wk 2,82,174.3,false,02/25/2022 12:00:00 AM
2021-2022,February,8,3,February wk 3,83,174.5,false,02/25/2022 12:00:00 AM
2021-2022,February,8,4,February wk 4,84,174.7,false,02/25/2022 12:00:00 AM
